competition,team,season,,date,home_team,away_team,system,coach,spectators,result
Eredivisie,FC Groningen,00/01,1,So. 20.08.2000,FC Groningen (13.),Willem II (9.),4-3-3 offensiv,Jan van Dijk,10,1:1
Eredivisie,FC Groningen,00/01,2,Mi. 23.08.2000,FC Groningen (10.),NEC Nijmegen (6.),?,Jan van Dijk,11,4:4
Eredivisie,FC Groningen,00/01,2,Sa. 26.08.2000,NAC Breda (13.),FC Groningen (10.),?,Jan van Dijk,10.862,5:1
Eredivisie,FC Groningen,00/01,3,Mi. 06.09.2000,FC Groningen (14.),De Graafschap (10.),37350,,9.5,1:0
Eredivisie,FC Groningen,00/01,5,Sa. 09.09.2000,Ajax Amsterdam (12.),FC Groningen (11.),4-3-3 offensiv,,35.432,3:1
Eredivisie,FC Groningen,00/01,5,So. 17.09.2000,RBC Roosendaal (15.),FC Groningen (11.),37350,,6,0:2
Eredivisie,FC Groningen,00/01,6,So. 24.09.2000,FC Groningen (13.),FC Utrecht (16.),4-3-3 offensiv,,11.076,1:3
Eredivisie,FC Groningen,00/01,6,So. 01.10.2000,FC Groningen (13.),PSV Eindhoven (2.),37350,,12,0:1
Eredivisie,FC Groningen,00/01,7,Sa. 14.10.2000,Roda JC (11.),FC Groningen (15.),4-3-3 offensiv,,13,2:0
Eredivisie,FC Groningen,00/01,9,So. 22.10.2000,FC Groningen (15.),Fortuna Sittard (18.),?,,10.8,4:0
Eredivisie,FC Groningen,00/01,9,So. 29.10.2000,Sparta R. (16.),FC Groningen (15.),?,,6.108,2:0
Eredivisie,FC Groningen,00/01,11,So. 05.11.2000,FC Groningen (16.),AZ Alkmaar (13.),?,,12.6,1:2
Eredivisie,FC Groningen,00/01,12,So. 12.11.2000,Vitesse Arnheim (2.),FC Groningen (16.),?,,25.5,2:2
Eredivisie,FC Groningen,00/01,13,So. 26.11.2000,Twente Enschede (9.),FC Groningen (14.),4-3-3 offensiv,,13.2,3:0
Eredivisie,FC Groningen,00/01,15,So. 03.12.2000,RKC Waalwijk (6.),FC Groningen (15.),37350,,5.5,0:0
Eredivisie,FC Groningen,00/01,16,Sa. 09.12.2000,De Graafschap (16.),FC Groningen (15.),?,,11,0:4
