season,competion,team,goals,points_per_game,goals,assists,cards,minutes
18/19,DFB-Pokal,FC Bayern München,2,"3,00",-,-,1 / - / -,69'
18/19,1. Bundesliga,FC Bayern München,12,"1,83",4,-,- / 1 / -,567'
18/19,Champions League,FC Bayern München,4,"2,50",2,1,1 / - / -,314'
18/19,DFL-Supercup,FC Bayern München,1,"3,00",-,1,- / - / -,58'
17/18,Champions League,FC Bayern München,9,"2,11",-,1,- / - / -,494'
17/18,1. Bundesliga,FC Bayern München,21,"2,57",5,7,- / - / -,1.515'
17/18,DFB-Pokal,FC Bayern München,4,"3,00",2,4,- / - / -,327'
16/17,1. Bundesliga,FC Bayern München,26,"2,35",13,11,- / - / -,1.827'
16/17,DFB-Pokal,FC Bayern München,3,"2,00",-,-,2 / - / -,269'
16/17,Champions League,FC Bayern München,8,"1,88",3,3,1 / - / -,634'
15/16,1. Bundesliga,FC Bayern München,15,"2,40",4,1,1 / - / -,1.101'
15/16,Champions League,FC Bayern München,3,"2,33",2,1,- / - / -,159'
15/16,DFB-Pokal,FC Bayern München,3,"3,00",-,1,- / - / -,148'
15/16,DFL-Supercup,FC Bayern München,1,"0,00",1,-,- / - / -,120'
14/15,DFB-Pokal,FC Bayern München,2,"1,50",-,1,- / - / -,97'
14/15,1. Bundesliga,FC Bayern München,21,"2,62",17,7,- / - / -,1.678'
14/15,Champions League,FC Bayern München,7,"2,29",2,1,- / - / -,428'
13/14,DFB-Pokal,FC Bayern München,5,"3,00",4,5,1 / - / -,377'
13/14,1. Bundesliga,FC Bayern München,28,"2,75",11,6,- / - / -,1.685'
13/14,Champions League,FC Bayern München,10,"2,00",4,6,- / - / -,877'
13/14,UEFA Super Cup,FC Bayern München,1,"3,00",-,-,- / - / -,96'
13/14,DFL-Supercup,FC Bayern München,1,"0,00",2,-,- / - / -,90'
12/13,DFB-Pokal,FC Bayern München,5,"3,00",4,3,- / - / -,412'
12/13,Champions League,FC Bayern München,9,"2,67",4,2,1 / - / -,731'
12/13,1. Bundesliga,FC Bayern München,16,"2,81",5,7,- / - / -,982'
12/13,DFL-Supercup,FC Bayern München,1,"3,00",-,1,1 / - / -,85'
11/12,Champions League,FC Bayern München,8,"2,25",4,2,2 / - / -,669'
11/12,DFB-Pokal,FC Bayern München,3,"2,00",2,1,2 / - / -,300'
11/12,1. Bundesliga,FC Bayern München,24,"2,04",12,6,1 / - / -,1.704'
11/12,CL-Quali,FC Bayern München,1,"3,00",1,1,- / - / -,90'
10/11,1. Bundesliga,FC Bayern München,14,"2,29",12,10,3 / - / 1,1.133'
10/11,Champions League,FC Bayern München,2,"1,50",-,2,- / - / -,158'
10/11,DFB-Pokal,FC Bayern München,2,"1,50",1,1,1 / - / -,108'
09/10,Champions League,FC Bayern München,10,"1,60",4,-,- / - / -,691'
09/10,DFB-Pokal,FC Bayern München,3,"3,00",3,1,2 / - / -,292'
09/10,1. Bundesliga,FC Bayern München,24,"2,29",16,7,1 / - / -,1.776'
08/09,LaLiga,Real Madrid,29,"2,07",7,7,2 / 1 / -,2.175'
08/09,Champions League,Real Madrid,6,"1,50",1,1,- / - / -,404'
08/09,Supercopa,Real Madrid,2,"1,50",-,1,- / - / -,117'
07/08,LaLiga,Real Madrid,21,"2,29",4,4,3 / - / -,1.179'
07/08,Champions League,Real Madrid,5,"1,40",-,-,- / - / -,223'
07/08,Copa del Rey,Real Madrid,2,"2,00",1,1,- / - / -,180'
07/08,Supercopa,Real Madrid,-,-,-,-,- / - / -,-
06/07,FA Cup,FC Chelsea,4,"2,50",-,-,- / - / -,251'
06/07,Champions League,FC Chelsea,8,"1,75",1,1,2 / - / -,349'
06/07,Premier League,FC Chelsea,21,"2,43",2,4,1 / - / -,1.361'
06/07,League Cup,FC Chelsea,3,"3,00",-,1,- / - / -,217'
06/07,Community Shield,FC Chelsea,1,"0,00",-,-,- / - / -,63'
05/06,Premier League,FC Chelsea,28,"2,57",6,4,2 / 1 / 1,1.759'
05/06,FA Cup,FC Chelsea,4,"1,75",1,1,- / - / -,217'
05/06,Champions League,FC Chelsea,6,"1,00",-,-,2 / - / -,439'
05/06,League Cup,FC Chelsea,1,"0,00",-,1,- / - / -,120'
05/06,Community Shield,FC Chelsea,1,"3,00",-,-,- / - / -,69'
04/05,Champions League,FC Chelsea,5,"1,00",1,-,- / - / -,223'
04/05,Premier League,FC Chelsea,18,"2,78",7,9,4 / - / -,1.256'
04/05,FA Cup,FC Chelsea,2,"3,00",-,-,- / - / -,54'
04/05,League Cup,FC Chelsea,4,"3,00",1,1,- / - / -,290'
03/04,Eredivisie,PSV Eindhoven,23,"2,35",5,10,2 / - / -,1.836'
03/04,UEFA-Cup,PSV Eindhoven,2,"2,00",-,-,- / - / -,125'
03/04,Champions League,PSV Eindhoven,6,"1,67",2,-,2 / - / -,478'
03/04,Johan Cruijff Schaal,PSV Eindhoven,1,"3,00",1,-,- / - / -,90'
02/03,Eredivisie,PSV Eindhoven,33,"2,45",12,6,3 / - / -,2.655'
02/03,Champions League,PSV Eindhoven,4,"1,25",1,-,- / - / -,239'
02/03,Johan Cruijff Schaal,PSV Eindhoven,1,"0,00",-,-,- / - / -,26'
01/02,KPN Eredivisie,FC Groningen,28,"1,11",6,3,2 / - / -,2.306'
01/02,Amstel Cup,FC Groningen,6,"2,50",4,1,- / - / -,478'
00/01,KPN Eredivisie,FC Groningen,18,"1,17",2,1,1 / - / -,1.224'
