season,league,matchday,date,home,team,opponent,result,position,minute,result_goal,kind,provider
00/01,Eredivisie,20,11.03.01,H,FC Groningen,Ajax Amsterdam (3.),3:3,,15',2:2,,Martin Drent
00/01,Eredivisie,29,22.04.01,H,FC Groningen,RBC Roosendaal (18.),2:0,,15',1:0,,
01/02,TOTO KNVB beker,Gruppenphase,07.08.01,A,FC Groningen,Drachtster Boys,0:4,,78',0:3,,
01/02,TOTO KNVB beker,Gruppenphase,11.08.01,H,FC Groningen,Veendam,2:0,LA,60',2:0,,Joost Broerse
01/02,TOTO KNVB beker,2.Runde,24.10.01,H,FC Groningen,ACV Assen,7:1,LA,58',5:0,,Kurt Elshot
01/02,TOTO KNVB beker,Achtelfinale,12.12.01,H,FC Groningen,FC Zwolle,3:0,,63',3:0,,Kurt Elshot
01/02,Eredivisie,21,03.02.02,H,FC Groningen,NAC Breda (4.),3:0,,83',3:0,,
01/02,Eredivisie,20,20.02.02,A,FC Groningen,FC Den Bosch (11.),1:4,,6',0:1,,
01/02,Eredivisie,20,20.02.02,A,FC Groningen,FC Den Bosch (11.),1:4,,90',1:4,,
01/02,Eredivisie,32,03.04.02,A,FC Groningen,Ajax Amsterdam (2.),4:3,,60',2:2,,Magnus Johansson
01/02,Eredivisie,30,07.04.02,H,FC Groningen,NEC Nijmegen (9.),2:2,,39',2:0,,Sander van Gessel
01/02,Eredivisie,33,28.04.02,H,FC Groningen,De Graafschap (13.),2:0,,65',1:0,,Mathias Florén
02/03,Eredivisie,6,28.08.02,H,FC Groningen,De Graafschap (15.),4:0,,35',3:0,,
02/03,Eredivisie,9,26.10.02,A,PSV Eindhoven,NEC Nijmegen (6.),0:5,,85',0:5,,
02/03,Champions League,Gruppenphase,30.10.02,H,PSV Eindhoven,AJ Auxerre,3:0,,64',3:0,,
02/03,Eredivisie,16,15.12.02,A,PSV Eindhoven,Ajax Amsterdam (1.),2:4,,14',0:1,,
02/03,Eredivisie,18,31.01.03,H,PSV Eindhoven,RBC Roosendaal (14.),3:0,,38',1:0,,Dennis Rommedahl
02/03,Eredivisie,19,08.02.03,A,PSV Eindhoven,RKC Waalwijk (5.),0:1,,40',0:1,,
02/03,Eredivisie,20,15.02.03,H,PSV Eindhoven,FC Zwolle (18.),6:0,,59',6:0,,Mark van Bommel
