,spiele,tore,vorlagen,minuten_tor,minuten
1. Bundesliga,201,99,62,141,13.968
Champions League,110,31,21,242,7.509
Eredivisie,102,25,20,320,8.012
Premier League,67,15,17,292,4.376
LaLiga,50,11,11,305,3.354
DFB-Pokal,32,16,17,150,2.399
FA Cup,10,1,1,522,522
EFL Cup,8,1,3,597,597
TOTO KNVB beker,6,4,1,120,478
DFL-Supercup,4,3,2,107,322
UEFA-Cup,2,-,-,-,124
Community Shield,2,-,-,-,130
Copa del Rey,2,1,1,180,180
Supercopa,2,-,1,-,117
Johan Cruijff Schaal,2,1,-,116,116
CL-Quali,1,1,1,90,90
UEFA Super Cup,1,-,-,-,95
